Pokemon,Number,Color,Habitat,Type,Generation,Description
Zebstrika,523,black,unknown,Electric,generation-v,"black electric - they have lightning-like movements. when zebstrika run at full speed, the sound of thunder reverberates. this ill-tempered pokémon is dangerous because when it’s angry, it shoots lightning from its mane in all directions. when this ill-tempered pokémon runs wild, it shoots lightning from its mane in all directions."
Roggenrola,524,blue,unknown,Rock,generation-v,"blue rock - its ear is hexagonal in shape. compressed underground, its body is as hard as steel. they were discovered a hundred years ago in an earthquake fissure. inside each one is an energy core. the hexagonal-shaped hole is its ear. it has a tendency to walk in the direction the sound is coming from. born deep within the ground, it compares itself with similar species, such as geodude and carbink, to settle which has the hardest body. the hexagonal cavity is its ear. it walks in the direction of sounds it hears, but if the sounds cease, it panics and topples over. the hexagonal hole is its ear. deep in that ear is an energy core, so if you stick your hand in there, roggenrola will be very angry! it was found in a fissure in a layer of exposed rock. the material that makes up its body is dirt from several hundred years ago. it’s as hard as steel, but apparently a long soak in water will cause it to soften a bit. when it detects a noise, it starts to move. the energy core inside it makes this pokémon slightly warm to the touch."
Boldore,525,blue,unknown,Rock,generation-v,"blue rock - when it overflows with power, the orange crystal on its body glows. it looks for underground water in caves. because its energy was too great to be contained, the energy leaked and formed orange crystals. when it is healthy, its core sticks out. always facing the same way, it swiftly moves front to back and left to right. its orange crystal is a mass of energy. just one crystal fragment would provide enough fuel for a hundred dump trucks. it explores caves in search of underground water. it’s not comfortable around water, so this pokémon takes great care in lapping it up. the energy overflowing from its body has turned into orange crystals that are hard enough to smash diamonds. its orange crystals are lumps of powerful energy. they’re valuable, so boldore is sometimes targeted for them. if you see its orange crystals start to glow, be wary. it’s about to fire off bursts of energy. it relies on sound in order to monitor what’s in its vicinity. when angered, it will attack without ever changing the direction it’s facing."
Gigalith,526,blue,unknown,Rock,generation-v,"blue rock - compressing the energy from its internal core lets it fire off an attack capable of blowing away a mountain. the solar energy absorbed by its body’s orange crystals is magnified internally and fired from its mouth. the solar rays it absorbs are processed in its energy core and fired as a ball of light. the blasts of energy it makes from sunbeams have terrifying power. however, it’s not able to fire its blasts at night or on rainy days. known for its hefty horsepower, this pokémon is a popular partner for construction workers. when it fires off energy with all its might, the power creates countless fissures on its body. it absorbs rays of sunlight and shoots out energy. it’s usually lurking deep beneath the surface. this hardy pokémon can often be found on construction sites and in mines, working alongside people and copperajah. although its energy blasts can blow away a dump truck, they have a limitation— they can only be fired when the sun is out."
Woobat,527,blue,unknown,Psychic Flying,generation-v,"blue psychic flying - its habitat is dark forests and caves. it emits ultrasonic waves from its nose to learn about its surroundings. suction from its nostrils enables it to stick to cave walls during sleep. it leaves a heart-shaped mark behind. the heart-shaped mark left on a body after a woobat has been attached to it is said to bring good fortune. while inside a cave, if you look up and see lots of heart-shaped marks lining the walls, it’s evidence that woobat live there. it emits ultrasonic waves as it flutters about, searching for its prey—bug pokémon."
Swoobat,528,blue,unknown,Psychic Flying,generation-v,"blue psychic flying - it emits sound waves of various frequencies from its nose, including some powerful enough to destroy rocks. anyone who comes into contact with the ultrasonic waves emitted by a courting male experiences a positive mood shift. it shakes its tail vigorously when it emits ultrasonic waves strong enough to reduce concrete to rubble. emitting powerful sound waves tires it out. afterward, it won’t be able to fly for a little while. the auspicious shape of this pokémon’s nose apparently led some regions to consider swoobat a symbol of good luck."
Drilbur,529,gray,unknown,Ground,generation-v,"gray ground - it can dig through the ground at a speed of 30 mph. it could give a car running aboveground a good race. it makes its way swiftly through the soil by putting both claws together and rotating at high speed. by spinning its body, it can dig straight through the ground at a speed of 30 mph. it brings its claws together and whirls around at high speed before rushing toward its prey. it’s a digger, using its claws to burrow through the ground. it causes damage to vegetable crops, so many farmers have little love for it."
Excadrill,530,gray,unknown,Ground Steel,generation-v,"gray ground steel - it can help in tunnel construction. its drill has evolved into steel strong enough to bore through iron plates. more than 300 feet below the surface, they build mazelike nests. their activity can be destructive to subway tunnels. forming a drill with its steel claws and head, it can bore through a steel plate, no matter how thick it is. it’s not uncommon for tunnels that appear to have formed naturally to actually be a result of excadrill’s rampant digging. known as the drill king, this pokémon can tunnel through the terrain at speeds of over 90 mph."
Audino,531,pink,unknown,Normal,generation-v,"pink normal - it touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling. its auditory sense is astounding. it has a radarlike ability to understand its surroundings through slight sounds. using the feelers on its ears, it can tell how someone is feeling or when an egg might hatch. audino’s sense of hearing is superb. not even a pebble rolling along over a mile away will escape audino’s ears. this pokémon has a kind heart. by touching with its feelers, audino can gauge other creatures’ feelings and physical conditions."
Timburr,532,gray,unknown,Fighting,generation-v,"gray fighting - it fights by swinging a piece of lumber around. it is close to evolving when it can handle the lumber without difficulty. these pokémon appear at building sites and help out with construction. they always carry squared logs. always carrying squared logs, they help out with construction. as they grow, they carry bigger logs. it loves helping out with construction projects. it loves it so much that if rain causes work to halt, it swings its log around and throws a tantrum. timburr that have started carrying logs that are about three times their size are nearly ready to evolve."
Gurdurr,533,gray,unknown,Fighting,generation-v,"gray fighting - this pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch. they strengthen their bodies by carrying steel beams. they show off their big muscles to their friends. with strengthened bodies, they skillfully wield steel beams to take down buildings. it shows off its muscles to machoke and other gurdurr. if it fails to measure up to the other pokémon, it lies low for a little while. gurdurr excels at demolition—construction is not its forte. in any case, there’s skill in the way this pokémon wields its metal beam."
Conkeldurr,534,brown,unknown,Fighting,generation-v,"brown fighting - it is thought that conkeldurr taught humans how to make concrete more than 2,000 years ago. they use concrete pillars as walking canes. they know moves that enable them to swing the pillars freely in battle. rather than rely on force, they master moves that utilize the centrifugal force of spinning concrete. concrete mixed by conkeldurr is much more durable than normal concrete, even when the compositions of the two materials are the same. when going all out, this pokémon throws aside its concrete pillars and leaps at opponents to pummel them with its fists."
Tympole,535,blue,unknown,Water,generation-v,"blue water - they warn others of danger by vibrating their cheeks to create a high-pitched sound. by vibrating its cheeks, it emits sound waves imperceptible to humans. it uses the rhythm of these sounds to talk. by vibrating its cheeks, it emits sound waves imperceptible to humans and warns others of danger. graceful ripples running across the water’s surface are a sure sign that tympole are singing in high-pitched voices below. it uses sound waves to communicate with others of its kind. people and other pokémon species can’t hear its cries of warning."
Palpitoad,536,blue,unknown,Water Ground,generation-v,"blue water ground - when they vibrate the bumps on their heads, they can make waves in water or earthquake-like vibrations on land. it lives in the water and on land. it uses its long, sticky tongue to capture prey. it lives in the water and on land. it uses its long, sticky tongue to immobilize its opponents. it weakens its prey with sound waves intense enough to cause headaches, then entangles them with its sticky tongue. on occasion, their cries are sublimely pleasing to the ear. palpitoad with larger lumps on their bodies can sing with a wider range of sounds."
Seismitoad,537,blue,unknown,Water Ground,generation-v,"blue water ground - they shoot paralyzing liquid from their head bumps. they use vibration to hurt their opponents. it increases the power of its punches by vibrating the bumps on its fists. it can turn a boulder to rubble with one punch. by putting power into its bumps, it creates vibrations and increases the power of its punches. the vibrating of the bumps all over its body causes earthquake-like tremors. seismitoad and croagunk are similar species. this pokémon is popular among the elderly, who say the vibrations of its lumps are great for massages."
Throh,538,red,unknown,Fighting,generation-v,"red fighting - when it tightens its belt, it becomes stronger. wild throh use vines to weave their own belts. when they encounter foes bigger than themselves, they try to throw them. they always travel in packs of five. when it encounters a foe bigger than itself, it wants to throw it. it changes belts as it gets stronger. it performs throwing moves with first-rate skill. over the course of many battles, throh’s belt grows darker as it absorbs its wearer’s sweat. they train in groups of five. any member that can’t keep up will discard its belt and leave the group."
Sawk,539,blue,unknown,Fighting,generation-v,"blue fighting - the sound of sawk punching boulders and trees can be heard all the way from the mountains where they train. tying their belts gets them pumped and makes their punches more destructive. disturbing their training angers them. desiring the strongest karate chop, they seclude themselves in mountains and train without sleeping. if you see a sawk training in the mountains in its single-minded pursuit of strength, it’s best to quietly pass by. the karate chops of a sawk that’s trained itself to the limit can cleave the ocean itself."
Sewaddle,540,yellow,unknown,Bug Grass,generation-v,"yellow bug grass - leavanny dress it in clothes they made for it when it hatched. it hides its head in its hood while it is sleeping. this pokémon makes clothes for itself. it chews up leaves and sews them with sticky thread extruded from its mouth. since this pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers."
Swadloon,541,green,unknown,Bug Grass,generation-v,"green bug grass - forests where swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life. it protects itself from the cold by wrapping up in leaves. it stays on the move, eating leaves in forests. preferring dark, damp places, it spends the entire day eating fallen leaves that lie around it."
Leavanny,542,yellow,unknown,Bug Grass,generation-v,"yellow bug grass - upon finding a small pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk. it keeps its eggs warm with heat from fermenting leaves. it also uses leaves to make warm wrappings for sewaddle. upon finding a small pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth."
Venipede,543,red,unknown,Bug Poison,generation-v,"red bug poison - its bite injects a potent poison, enough to paralyze large bird pokémon that try to prey on it. it discovers what is going on around it by using the feelers on its head and tail. it is brutally aggressive. using the feelers on its head and tail, it picks up vibrations in the air to determine its prey’s location and state. venipede and sizzlipede are similar species, but when the two meet, a huge fight ensues. its fangs are highly venomous. if this pokémon finds prey it thinks it can eat, it leaps for them without any thought of how things might turn out."
Whirlipede,544,gray,unknown,Bug Poison,generation-v,"gray bug poison - protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies. it is usually motionless, but when attacked, it rotates at high speed and then crashes into its opponent. storing energy for evolution, it sits. but, when predators approach, it moves to stab them with poison spikes. this pokémon spins itself rapidly and charges into its opponents. its top speed is just over 60 mph. whirlipede protects itself with a sturdy shell and poisonous spikes while it stores up the energy it’ll need for evolution."
Scolipede,545,red,unknown,Bug Poison,generation-v,"red bug poison - with quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails. highly aggressive, it uses the claws near its neck to dig into its opponents and poison them. it clasps its prey with the claws on its neck until it stops moving. then it finishes it off with deadly poison. scolipede latches on to its prey with the claws on its neck before slamming them into the ground and jabbing them with its claws’ toxic spikes. scolipede engage in fierce territorial battles with centiskorch. at the end of one of these battles, the victor makes a meal of the loser."
Cottonee,546,green,unknown,Grass Fairy,generation-v,"green grass fairy - when attacked, it escapes by shooting cotton from its body. the cotton serves as a decoy to distract the attacker. they go wherever the wind takes them. on rainy days, their bodies are heavier, so they take shelter beneath big trees. perhaps because they feel more at ease in a group, they stick to others they find. they end up looking like a cloud. when it finds others of its kind, they all stick together. when enough of them have collected, the mass resembles a cumulonimbus cloud. pillows and beds stuffed with cotton exhaled by cottonee are soft and puffy, light and airy— altogether top quality. to protect itself, it shoots cotton from its body. when it gets wet in the rain, its cotton grows moist and heavy, and it can’t move as well. when attacked, it expels cotton from its body to create a diversion. the cotton it loses grows back in quickly. it shoots cotton from its body to protect itself. if it gets caught up in hurricane-strength winds, it can get sent to the other side of the earth. weaving together the cotton of both cottonee and eldegoss produces exquisite cloth that’s highly prized by many luxury brands."
Whimsicott,547,green,unknown,Grass Fairy,generation-v,"green grass fairy - like the wind, it can slip through any gap, no matter how small. it leaves balls of white fluff behind. riding whirlwinds, they appear. these pokémon sneak through gaps into houses and cause all sorts of mischief. they appear along with whirlwinds. they pull pranks, such as moving furniture and leaving balls of cotton in homes. it rides on the wind and slips into people’s homes. after it has turned a room into a cotton- filled mess, it giggles to itself and takes off. this pokémon appears, riding upon the wind. but if the wind gusts up, it’ll blow the cotton on this pokémon’s head clean off. this nuisance sneaks into people’s homes, where it hides important things and scatters cotton all over the place. whimsicott doesn’t live in a fixed location. it floats around on whirling winds, appearing all over the place to perform its mischief. it scatters cotton all over the place as a prank. if it gets wet, it’ll become too heavy to move and have no choice but to answer for its mischief. as long as this pokémon bathes in sunlight, its cotton keeps growing. if too much cotton fluff builds up, whimsicott tears it off and scatters it."
Petilil,548,green,unknown,Grass,generation-v,"green grass - the leaves on its head are very bitter. eating one of these leaves is known to refresh a tired body. since they prefer moist, nutrient-rich soil, the areas where petilil live are known to be good for growing plants. the leaves on its head grow right back even if they fall out. these bitter leaves refresh those who eat them. although the leaves on its head are bitter enough to cause dizziness, they provide relief from weariness—even more so when boiled. by pruning the leaves on its head with regularity, this pokémon can be grown into a fine plump shape. some say if you dry the leaves on its head, boil them down, and drink the infusion, your vigor will return, so petilil is popular with the elderly. they prefer clean water and soil. when the environment they live in turns bad, the whole bunch will up and move to a new area. petilil appears around sources of clean water. boiling leaves from this pokémon’s head results in a liquid that’s sometimes used as a bug repellent. the deeper the color of a petilil’s leaves, the healthier the pokémon is. petilil sometimes makes its home in a well-tended field or flowerbed. the leaves on its head are highly valued for medicinal purposes. dry the leaves in the sun, boil them, and then drink the bitter decoction for remarkably effective relief from fatigue."
Lilligant,549,green,unknown,Grass,generation-v,"green grass - even veteran trainers face a challenge in getting its beautiful flower to bloom. this pokémon is popular with celebrities. the fragrance of the garland on its head has a relaxing effect. it withers if a trainer does not take good care of it. the fragrance of the garland on its head has a relaxing effect, but taking care of it is very difficult. no matter how much time and money is spent raising it, its flowers are the most beautiful when they bloom in the wild. as soon as it finds a male to be its partner, the beautiful flower on its head darkens, droops, and withers away. the fragrance of its flower differs slightly depending on the soil where it grew up. sniffing the aroma calms your heart and mind. it’s well liked by other pokémon because of its beauty. the flower on its head needs constant care, or it will soon wither and rot. it’s believed that even first-rate gardeners have a hard time getting the flower on a lilligant’s head to bloom. essential oils made from lilligant flowers have a sublime scent, but they’re also staggeringly expensive. i suspect that its well-developed legs are the result of a life spent on mountains covered in deep snow. the scent it exudes from its flower crown heartens those in proximity."
Basculin,550,green,unknown,,generation-v,"green nan - red and blue basculin get along so poorly, they’ll start fighting instantly. these pokémon are very hostile. red and blue basculin usually do not get along, but sometimes members of one school mingle with the other’s school. red- and blue-striped basculin are very violent and always fighting. they are also remarkably tasty. savage, violent pokémon, red and blue basculin are always fighting each other over territory. when a school of basculin appears in a lake, everything else disappears, except for corphish and crawdaunt. that’s how violent basculin are. anglers love the fight this pokémon puts up on the hook. and there are always more to catch— many people release them into lakes illicitly. in the past, it often appeared on the dinner table. the meat of red-striped basculin is on the fatty side, and it’s more popular with the youth. though it differs from other basculin in several respects, including demeanor—this one is gentle—i have categorized it as a regional form given the vast array of shared qualities."
Sandile,551,brown,unknown,Ground Dark,generation-v,"brown ground dark - they live buried in the sands of the desert. the sun-warmed sands prevent their body temperature from dropping. it moves along below the sand’s surface, except for its nose and eyes. a dark membrane shields its eyes from the sun. they live hidden under hot desert sands in order to keep their body temperature from dropping. it submerges itself in sand and moves as if swimming. this wise behavior keeps its enemies from finding it and maintains its temperature. it conceals itself in the sand and chomps down on the legs of any prey that unwarily walk over it. its favorite food is trapinch. alola, where it’s warm all year round, is a comfortable environment for this pokémon. sometimes you’ll even see it outside of deserts. sandile’s still not good at hunting, so it mostly eats things that have collapsed in the desert. it’s called “the cleaner of the desert.” the desert gets cold at night, so when the sun sets, this pokémon burrows deep into the sand and sleeps until sunrise. sandile is small, but its legs and lower body are powerful. pushing sand aside as it goes, sandile moves through the desert as if it’s swimming."
Krokorok,552,brown,unknown,Ground Dark,generation-v,"brown ground dark - they live in groups of a few individuals. protective membranes shield their eyes from sandstorms. the special membrane covering its eyes can sense the heat of objects, so it can see its surroundings even in darkness. protected by thin membranes, their eyes can see even in the dead of night. they live in groups of a few individuals. they move in groups of a few individuals. a female is often the leader of the group, and the males will gather food. thanks to the special membrane covering its eyes, it can see its surroundings clearly, even in the middle of the night. krokorok really hates it when its body gets cold. on nights when the temperature drops, it digs deep into the desert sands. it buries some of its prey in the sand to use as emergency meals when its hunts are unsuccessful. krokorok has specialized eyes that enable it to see in the dark. this ability lets krokorok hunt in the dead of night without getting lost. although this pokémon has specialized eyes that allow it to see in the dark, krokorok won’t move much at night—the desert gets cold after sunset."
Krookodile,553,red,unknown,Ground Dark,generation-v,"red ground dark - they never allow prey to escape. their jaws are so powerful, they can crush the body of an automobile. it can expand the focus of its eyes, enabling it to see objects in the far distance as if it were using binoculars. very violent pokémon, they try to clamp down on anything that moves in front of their eyes. its unique faculty of sight can detect small prey more than 30 miles away, even in the midst of a sandstorm. after clamping down with its powerful jaws, it twists its body around to rip its prey in half. when it spots prey, even at a distance of over 30 miles, it swims through the desert as if it were water, then jumps out and chomps them. it conceals itself in sandstorms that flygon whip up and waits patiently for prey to appear. this pokémon is known as the bully of the sands. krookodile’s mighty jaws can bite through heavy plates of iron with almost no effort at all. while terribly aggressive, krookodile also has the patience to stay hidden under sand for days, lying in wait for prey."
Darumaka,554,red,unknown,Fire,generation-v,"red fire - when its internal fire is burning, it cannot calm down and it runs around. when the fire diminishes, it falls asleep. darumaka’s droppings are hot, so people used to put them in their clothes to keep themselves warm. when it sleeps, it pulls its limbs into its body and its internal fire goes down to 1,100° f. when it sleeps, it pulls its limbs into its body and its internal fire goes down to 1,100 degrees fahrenheit. it derives its power from fire burning inside its body. if the fire dwindles, this pokémon will immediately fall asleep. this popular symbol of good fortune will never fall over in its sleep, no matter how it’s pushed or pulled."
Darmanitan,555,red,unknown,,generation-v,"red nan - its internal fire burns at 2,500° f, making enough power that it can destroy a dump truck with one punch. when weakened in battle, it transforms into a stone statue. then it sharpens its mind and fights on mentally. when one is injured in a fierce battle, it hardens into a stone-like form. then it meditates and sharpens its mind. its internal fire burns at 2,500 degrees fahrenheit, making enough power that it can destroy a dump truck with one punch. the thick arms of this hot-blooded pokémon can deliver punches capable of obliterating a dump truck. this pokémon’s power level rises along with the temperature of its fire, which can reach 2,500 degrees fahrenheit."
Maractus,556,green,unknown,Grass,generation-v,"green grass - it uses an up-tempo song and dance to drive away the bird pokémon that prey on its flower seeds. arid regions are their habitat. they move rhythmically, making a sound similar to maracas. when it moves rhythmically, it makes a sound similar to maracas, making the surprised pokémon flee. with noises that could be mistaken for the rattles of maracas, it creates an upbeat rhythm, startling bird pokémon and making them fly off in a hurry. once each year, this pokémon scatters its seeds. they’re jam-packed with nutrients, making them a precious food source out in the desert."
Dwebble,557,red,unknown,Bug Rock,generation-v,"red bug rock - this pokémon can easily melt holes in hard rocks with a liquid secreted from its mouth. it makes a hole in a suitable rock. if that rock breaks, the pokémon remains agitated until it locates a replacement. when it finds a stone of a suitable size, it secretes a liquid from its mouth to open up a hole to crawl into. when it finds a stone appealing, it creates a hole inside it and uses it as its home. this pokémon is the natural enemy of roggenrola and rolycoly. it first tries to find a rock to live in, but if there are no suitable rocks to be found, dwebble may move in to the ports of a hippowdon."
Crustle,558,red,unknown,Bug Rock,generation-v,"red bug rock - competing for territory, crustle fight viciously. the one whose boulder is broken is the loser of the battle. it possesses legs of enormous strength, enabling it to carry heavy slabs for many days, even when crossing arid land. when its boulder is broken in battles for territory, it feels unsure and begins to weaken. this highly territorial pokémon prefers dry climates. it won’t come out of its boulder on rainy days. its thick claws are its greatest weapons. they’re mighty enough to crack rhyperior’s carapace."
Scraggy,559,yellow,unknown,Dark Fighting,generation-v,"yellow dark fighting - its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck. it immediately headbutts anyone that makes eye contact with it. its skull is massively thick. proud of its sturdy skull, it suddenly headbutts everything, but its weight makes it unstable, too. they move in small groups, walking around lazily. anyone who makes eye contact gets smacked with a headbutt. it stretches its saggy skin up to its neck to protect itself. the saggier their skin, the more respect they garner. if it locks eyes with you, watch out! nothing and no one is safe from the reckless headbutts of this troublesome pokémon. it protects itself with its durable skin. it’s thought that this pokémon will evolve once its skin has completely stretched out."
Scrafty,560,red,unknown,Dark Fighting,generation-v,"red dark fighting - groups of them beat up anything that enters their territory. each can spit acidic liquid from its mouth. it can smash concrete blocks with its kicking attacks. the one with the biggest crest is the group leader. it pulls up its shed skin to protect itself while it kicks. the bigger the crest, the more respected it is. this pokémon may be rude, but it takes very good care of its family, its friends, and its turf. it taunts its opponents by spitting. it has a certain territory that it never leaves its whole life long. as halfhearted as this pokémon’s kicks may seem, they pack enough power to shatter conkeldurr’s concrete pillars. while mostly known for having the temperament of an aggressive ruffian, this pokémon takes very good care of its family, friends, and territory."
Sigilyph,561,black,unknown,Psychic Flying,generation-v,"black psychic flying - they never vary the route they fly, because their memories of guarding an ancient city remain steadfast. the guardians of an ancient city, they use their psychic power to attack enemies that invade their territory. the guardians of an ancient city, they always fly the same route while keeping watch for invaders. psychic power allows these pokémon to fly. some say they were the guardians of an ancient city. others say they were the guardians’ emissaries. a discovery was made in the desert where sigilyph fly. the ruins of what may have been an ancient city were found beneath the sands."
Yamask,562,black,unknown,Ghost,generation-v,"black ghost - each of them carries a mask that used to be its face when it was human. sometimes they look at it and cry. these pokémon arose from the spirits of people interred in graves in past ages. each retains memories of its former life. these pokémon arose from the spirits of people interred in graves. each retains memories of its former life. it wanders through ruins by night, carrying a mask that’s said to have been the face it had when it was still human. the spirit of a person from a bygone age became this pokémon. it rambles through ruins, searching for someone who knows its face."
Cofagrigus,563,yellow,unknown,Ghost,generation-v,yellow ghost - it has been said that they swallow those who get too close and turn them into mummies. they like to eat gold nuggets. they pretend to be elaborate coffins to teach lessons to grave robbers. their bodies are covered in pure gold. grave robbers who mistake them for real coffins and get too close end up trapped inside their bodies. this pokémon has a body of sparkling gold. people say it no longer remembers that it was once human. there are many depictions of cofagrigus decorating ancient tombs. they’re symbols of the wealth that kings of bygone eras had.
Tirtouga,564,blue,unknown,Water Rock,generation-v,"blue water rock - restored from a fossil, this pokémon can dive to depths beyond half a mile. about 100 million years ago, these pokémon swam in oceans. it is thought they also went on land to attack prey. this pokémon was restored from a fossil. it swam skillfully and dove to depths beyond half a mile. based on studies of its skeletal structure, it can apparently dive to ocean depths of over half a mile. reputed to be the ancestor of most turtle pokémon, it lived in warm seas approximately a hundred million years ago. it was restored from an ancient fossil. tirtouga lived in the sea but came up onto the land to search for prey. its hunting grounds encompassed a broad area, from the land to more than half a mile deep in the ocean. this pokémon inhabited ancient seas. although it can only crawl, it still comes up onto land in search of prey. tirtouga is considered to be the ancestor of many turtle pokémon. it was restored to life from a fossil."
Carracosta,565,blue,unknown,Water Rock,generation-v,"blue water rock - they can live both in the ocean and on land. a slap from one of them is enough to open a hole in the bottom of a tanker. incredible jaw strength enables them to chew up steel beams and rocks along with their prey. it could knock out a foe with a slap from one of its developed front appendages and chew it up, shell or bones and all. it constructed its sturdy shell by crunching and swallowing the hard shells or bones of its prey. active both on land and in the sea, this pokémon drags its land-based prey into the water to finish it off. its jaws are terrifyingly powerful. it could eat omastar and omanyte whole and not be bothered in the slightest by their shells. carracosta eats every last bit of the prey it catches, even the shells and bones, to further strengthen its sturdy shell. carracosta completely devours its prey—bones, shells, and all. because of this, carracosta’s own shell grows thick and sturdy. this pokémon emerges from the water in search of prey despite the fact that it moves more slowly on land."
Archen,566,yellow,unknown,Rock Flying,generation-v,"yellow rock flying - said to be an ancestor of bird pokémon, they were unable to fly and moved about by hopping from one branch to another. revived from a fossil, this pokémon is thought to be the ancestor of all bird pokémon. it was revived from an ancient fossil. not able to fly, it lived in treetops and hopped from one branch to another. it is the ancestor of all bird pokémon. archen itself could not actually fly but moved by hopping from treetop to treetop. to all appearances flightless, it was able to glide down from tall treetops to snag its prey. once thought to be the ancestor of all bird pokémon, some of the latest research suggests that may not be the case. restored from a fossil, this ancient bird pokémon has wings but can’t yet fly. this pokémon was successfully restored from a fossil. as research suggested, archen is unable to fly. but it’s very good at jumping. archen is said to be the ancestor of bird pokémon. it lived in treetops, eating berries and bug pokémon."
Archeops,567,yellow,unknown,Rock Flying,generation-v,"yellow rock flying - they are intelligent and will cooperate to catch prey. from the ground, they use a running start to take flight. it runs better than it flies. it catches prey by running at speeds comparable to those of an automobile. it runs better than it flies. it takes off into the sky by running at a speed of 25 mph. although apparently able to fly, they tended to run along the ground, averaging speeds of roughly 25 mph. they hunted in flocks. when one archeops had the prey cornered, another would swoop on it. this ancient pokémon’s plumage is delicate, so if anyone other than an experienced professional tries to restore it, they will fail. said to be an ancestor of bird pokémon, the muscles it uses to flap its wings are still weak, so it needs a long runway in order to take off. it needs a running start to take off. if archeops wants to fly, it first needs to run nearly 25 mph, building speed over a course of about 2.5 miles. though capable of flight, archeops was apparently better at hunting on the ground."
Trubbish,568,green,unknown,Poison,generation-v,"green poison - inhaling the gas they belch will make you sleep for a week. they prefer unsanitary places. the combination of garbage bags and industrial waste caused the chemical reaction that created this pokémon. wanting more garbage, they follow people who litter. they always belch poison gas. unsanitary places are what they like best. they can be spotted in alola, often with grimer in hot pursuit. it gorges on trash until its stomach is full. then it belches toxic gas. an unlucky whiff of gas will put a person in the hospital. poisonous gas leaks out of it when it breathes. muk that catch a whiff of that stench will come drooling. if a young pokémon or child breathes in the toxic gas that trubbish belches out, it could be a life-threatening situation. its favorite places are unsanitary ones. if you leave trash lying around, you could even find one of these pokémon living in your room. this pokémon was born from a bag stuffed with trash. galarian weezing relish the fumes belched by trubbish."
Garbodor,569,green,unknown,Poison,generation-v,"green poison - it clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth. they absorb garbage and make it part of their bodies. they shoot a poisonous liquid from their right-hand fingertips. consuming garbage makes new kinds of poison gases and liquids inside their bodies. beware the poisonous liquid it shoots from its right arm. if even a little of it gets on you, you’ll experience the effects of the unidentified toxin. for a time, their numbers increased explosively in alola. since the arrival of grimer, their population has decreased dramatically. it locks opponents in place with its left hand, immobilizing them by entirely dousing their bodies with poisonous liquid. some say the reason garbodor in alola are a little stronger than their counterparts elsewhere is the presence of muk, their natural enemy. this pokémon eats trash, which turns into poison inside its body. the main component of the poison depends on what sort of trash was eaten. the toxic liquid it launches from its right arm is so virulent that it can kill a weakened creature instantly."
Zorua,570,gray,unknown,Dark,generation-v,"gray dark - it changes into the forms of others to surprise them. apparently, it often transforms into a silent child. to protect themselves from danger, they hide their true identities by transforming into people and pokémon. it changes so it looks just like its foe, tricks it, and then uses that opportunity to flee. this pokémon has a cowardly disposition, so when it’s not around friends, it basically always stays transformed as something else. if a normally talkative child suddenly stops talking, it may have been replaced by zorua. zorua is a timid pokémon. this disposition seems to be what led to the development of zorua’s ability to take on the forms of other creatures. zorua sometimes transforms into a person and goes into cities to search for food. when zorua does this, it usually takes on the form of a child. a once-departed soul, returned to life in hisui. derives power from resentment, which rises as energy atop its head and takes on the forms of foes. in this way, zorua vents lingering malice."
Zoroark,571,gray,unknown,Dark,generation-v,"gray dark - bonds between these pokémon are very strong. it protects the safety of its pack by tricking its opponents. each has the ability to fool a large group of people simultaneously. they protect their lair with illusory scenery. stories say those who tried to catch zoroark were trapped in an illusion and punished. it doesn’t just transform itself—it also has the power to make hundreds of people see its illusions. if it thinks humans are going to discover its den, zoroark shows them visions that make them wander around in the woods. this pokémon cares deeply about others of its kind, and it will conjure terrifying illusions to keep its den and pack safe. seeking to ease the burden of their solitude, lonely trainers tell zoroark to show illusions to them. with its disheveled white fur, it looks like an embodiment of death. heedless of its own safety, zoroark attacks its nemeses with a bitter energy so intense, it lacerates zoroark's own body."
Minccino,572,gray,unknown,Normal,generation-v,"gray normal - they greet one another by rubbing each other with their tails, which are always kept well groomed and clean. these pokémon prefer a tidy habitat. they are always sweeping and dusting, using their tails as brooms. minccino greet each other by grooming one another thoroughly with their tails. a clean freak that will not allow even the slightest mess, it uses its tail like a mop to thoroughly clean any and all filth. when its tail has gotten dirty from self-cleaning or from cleaning its nest, minccino spends a whole day washing its tail in clean spring water. the way it brushes away grime with its tail can be helpful when cleaning. but its focus on spotlessness can make cleaning more of a hassle. they pet each other with their tails as a form of greeting. of the two, the one whose tail is fluffier is a bit more boastful."
